CS458 Natural Language Processing
BCS-9A
Assignment 2
Taimoor Khan
•
Oct 18, 2020
100 points
Due Oct 26, 2020
Perform text classification using the attached dataset. Try different classifiers and report their accuracy.

Movies_TV.txt
Text
Class comments

Your work
Turned in

knn_classification.ipynb
Colaboratory

Movies_TV.csv
Excel
Private comments


Domain	Label	Rating	Review
Movies_TV	POS	4	of all the Disney adaptated tale , Peter Pan be proably one of the best . while not as dark as jm Barrie 's original story , it keep the spirit of the original work and make it family friendly without betray it -lrb- Hercules anyone ? talk about completly gut the source material -rrb- . this be a acceptable adaptation in comparrison to Hercules .  Peter 's arrogance and pretty much be oblivious to the way the girl around he feel about he be right on point . Tink , Wendy , and even Tiger Lily all want Peter to be something he can never be , a man . while he willingness to sacrafice for the good of other and be a knight in shin armor of sort must be what draw the girl in , but on a personal level he can never connect in a mature way . even when he start out on a nobel effort -lrb- like save Tiger Lily -rrb- he get so catch up in the game he just about forget that he be there to save the young lady . this be certainly a impression of Peter give in the book . you can not really hate he for he moment of be a silly boy , especially when it come to girl , because that be all he be and all he can ever be , a boy . and as for the ` jealouse woman ' reaction that circle the film , it be important to note they be not woman -- they be girl . yes , Tink be a fairy but she sense of thing seem to be at the same level as wendy .  some of the complaint I have hear about the film be the way the Indians be portray . and quite a few line -lrb- ` ugh ' , ` how ' , the ` red man ' song -rrb- be proably a unfortunate product of the time . but the fact be , when I be a kid I do run around say ` bwah , bwah , bwah ' when I play ` indian ' . so it make sense in a world lock into a child 's sense of the world the indian -lrb- to proper english child -rrb- would be a bit exagurated .  so all in all , Disney do a pretty good job adapt this into a film . and it be still a favorite . all in all it be a good peice . I be a grown woman still hope Peter will visit my window one day . and my little sister love the movie .
Movies_TV	POS	5	have not receive it yet , so how can I review it ? but it be a great bargain , and I be so look forward to it !
Movies_TV	POS	5	Disney 's Peter Pan be the finest Peter Pan movie ever make . Disney 's animation in this film be very strong , they make never land so beautiful and Captain Hook 's ship look almost real ! this film have very good music . from song to background music . a film all age can endure .  this fantastical film begin in London where wendy , John , and Michael 's bedtime story hero , Peter Pan visit they . Peter later invite they on a magical journey to never land . with the help of Tinker Bell , he feisty sidekick , a shower of Pixie dust and some happy thought , Peter teach they how to fly . off they soar to a enchanted island fill with wonder and terror . later they fall into the clutch of Peter 's arch enemy , Captain Hook and he band of pirate . from the stunning scene of the flight to never land , to the underground home of the lose boy , to the stardust ship in the moonlight-peter pan define Disney magic .
Movies_TV	NEG	1	when this movie be release , the `` Evil Right wing '' Republicans be so blantantly portray as facist that they be almost parody . no more after the horror of Sept 11th -lrb- I be a survivor -rrb- , it be Will Smith 's wife -lrb- the wonderful ACLU Attorney -rrb- who it turn out be the characature . when she just brush off a republican Senator state on Larry King that there be 1000s of foreign nationial in america who hate the USA . she call he a facist ... what would she say now ?? I guess that would depend on if she have a loved kill in the Sept 11 attack . Afterall , ACLU lawyer seem to have the conscience of serial killer when it be innoncent man woman and child kiil who be no relation to they . but nevertheless , this movie be too disturbing to watch now that the real world have overshadow the liberal elite version of the world .
Movies_TV	POS	5	it start with random episode on bbca ... then check the schedule for episode ... then set the dvr ... and now this boxed set . must admit unrestricted affection for David Tennant , but he be quite spectacular in every moment of every episode in this set . this doctor be ebullient , benevolent , witty , and frequently grieve by he responsibility and role in the universe . now , I be a english teacher and not a 12 year old boy , and I have never be much for science fiction at all . Dr. who be transcend the genre -- it be full of archetype and imagery and allusion to religion , science , culture , history and myth ... on the surface , it be lovely , fun , and thoughtful family entertainment . dig a bit deeper , watch a bit closer , and learn a bit more . I have since get two other Tennant set and be start to consider `` other '' doctor ... all this from someone who do not like sci-fus . we never stop learn about ourselves , I guess . oh , wait , that be yet another english teacher-loving theme that run through the series !
Movies_TV	POS	5	this movie be for anyone who like a action\/thriller movie . this movie be full of suspence and suprise ! this movie make you think because this could accually happen . buy this movie , you wo not REGRET IT !
Movies_TV	POS	4	I borrow this dvd from my local library , but purchase it because it be such a fun workout . I expect to be more annoyed than anything during the workout , but actually start to have fun while vigoroussly shake my hip . it can be difficult to keep up with the action , however . the narration do not always give you a lot of warn prior to transition to new move , but that do not hinder my workout .
Movies_TV	POS	4	bear in mind that this be a sequel and a kid 's movie , I think it be pretty good . one thing about the plot do bother I though . it seem like anyone who pick up the wand could use it . it be the wand that start the whole thing , so it seem to I like it should have be more important and not a way for just anybody to get out of thing .
Movies_TV	POS	5	at long last ; a dream come true . a encredibly satisfying experience to revisit my childhood 's biggest favorite . my wife and I really enjoy Peter and he friend and foe ' escapade . thank you , thank you , thank you !
Movies_TV	POS	5	if you like the fourth doctor , Tom Baker , you 'll probably like David Tennant . Tennant be a Tom Baker fan and it show in he act . I like he better than Christopher Eccleston of the first series . I just wish less of the new first and second series happen on Earth . overall it be a great series .
Movies_TV	POS	5	I love this movie , as I do all the earlier Disney animation . I read the review by Carolinapooh , and I , too , remember that the part about clap to keep Tinkerbell alive be in the movie ! if you watch it , you will see Tinkerbell fading , and then there be a abrupt cut and suddenly she be ok . why would they have take it out ? maybe they think kid today be just too sophisticated for that , and sadly , they may be right .
Movies_TV	POS	4	I be go to be honest with you . when this movie be release and I see the trailer , I do not want to see it .  maybe it be because I think it be a team of Will Smith and Gene Hackman and I could not imagine the chemistry for the two as actor but I do not watch it .  after watch it , here be a few word and sentence that describe my feeling of this movie :  simply awesome !  as you can see , I really enjoy this movie . it be very good ! from start to beginning , you attention will be focus on this movie ! Tech people and those who wonder about privacy issue will definitely love this movie . it be all good ! & # 63728 ; Will Smith be truly wonderful in this film . the ending be very well do . Gene Hackman do a wonderful job as well . the chemistry as actor between the two work well . it be also nice to see Lisa Bonet in this film . I have not see she since the Cosby Show and show during that time . John Voight play a very well do evil political figure .  the video of this film be very good . the audio be very good as well ! it be one of the thing that keep my attention be the sound and to hear my subwoofer go boom quite frequently !  as for the extra 's , you get a few of they . it be pretty cool to see the featurette , the trailer and trailer for other movie . the only thing be the featurette be too short and for a movie this big ... there have to be delete scene right ? anyway , I wish they include the delete scene and much more to the extra 's but nevertheless , they do include really cool featurette .  again , this movie be brilliant ! so , you read the review ... buy it ! highly recommend !
Movies_TV	POS	5	I rent this film so my husband and I could go on a date and leave a new film with the babysitter . I actually start watch it while I get ready ! my baby love it and I have to re-rent it twice as it be no longer available on shelf . while this be not to be compare to the `` move art '' of the 40 's and 50 's Disney film it be a fantastic story ! Cinderella be a sweet , kind , caring and graceful girl who get to live a happily ever after life thanks to she friend the mouse and she fairy Godmother . but what if the magic that propel Cinderella to `` Princess '' be in the wrong hand ? Cinderella 's fairy tale be rewind and rewrite leave we heroine to fend for herself . I be impressed that Cinderella maintain she sweet and happy demeanor even while take responsibility for she future . in today 's world it be refresh when a girl can maintain grace , dignity , and class while still reach for and obtain she dream . some of the song that Cinderella sing be very pretty and they do well in find a voice talent that would come close to the original actress both in demeanor and pitch . a few of the song can get kind of cheesy and the mouse have a bit of a tendency to really annoy you but I promise you 'll be watch you baby act out to and laugh at these moment . this movie be gear towards young child with enough of a plot to stand on its own and to be enjoy by all age . the animation be brighter than in the original but try to maintain `` the look '' of Cinderella and she fellow cast . the moral of the story be that if you believe in Love and in yourself you can do anything , even without Disney 's signature dose of magic . I would recommend this product to anyone look to revisit the world of Cinderella . you will not leave disappointed this time .
Movies_TV	POS	5	this be a very good movie about be in the wrong place at the wrong time .  in the overview of this movie this poor man , in the wrong place at the wrong time , lose he life . he be give something , which he do not even know he have . which implicate a high ranking government official in something that he do not want public . consequently he life be take away . he credit card cancel , he friend murder -lrb- he be frame -rrb- and the one person who can help he do not want to get involve because he know how the government work . the non-helpful person be part of a government agency in the past . Insights into the NSA and what they be capable of make this movie a eye opener .  highly recommend movie . Watch it , think about it , worry about it . you must get the movie for the detail but this movie be one worth watch and one that will make you think . along with entertaining you while it be one .
Movies_TV	POS	5	First Will Smith rock all-round . the movie really make you think about the lack of privacy in we world today . and make you wonder about the government and what role they play or do not play in we society . it be well write and act out . full of drama and suspense . scary , in a way because you do not know how far someone will go to get what they want . a must see , and worth every penny you spend .
Movies_TV	POS	5	I have never see Peter Pan in my childhood . my wife and daughter see a sequel -lrb- I think -rrb- while in Perth , Ozzieland , and be thrill . feel leave out , I order this special edition . not what they see in the theater ; but it be something that my daughter have average 5 run a week for the last three month . if she fuss over she dinner - the mention of a time out for Peter Pan get instant result . now to go find the sequel !
Movies_TV	POS	5	a wonderful restored peter pan with plenty of INTERESTING EXTRAS . love it !!!!!!!!!!!!!!!!
Movies_TV	POS	4	true to Will Smith 's film persona , he be this generation 's action hero ! there be time that I wish that I could reach into the movie itself and strangle will on a few occasion during the first half hour - hour of the movie but I have to remind myself that this be how the character be write and that there be reason for everything in a hollywood script . I recommend the movie to young and old alike . it be a movie that also make you think what we government be really capable of and what the future have in store as well . enjoy !!!!!!
Movies_TV	POS	5	I love this series ! I be a little hesitant when David Tennant take over as the doctor but he be prove to be a great incarnation of the character . the struggle they give Rose concern he at the beginning of this season really deepen she character and for you old Dr. who fan , there be a surprise visit by one of the past `` assistant '' that even I , not be a fan of the old series , appreciate . and as for the season finale , all I can say be WOW ! it be heart-wrenching ! oh , what a bitter sweet end to a great season . you be eye will not be dry at the end of this one !
Movies_TV	POS	5	yes , at time hemalayaa go a little fast to follow the first time around , but exact replication be not the point . this video be ton of fun . the move be very accurate to modern bollywood film . and the go-at-your-own-pace attitude be refreshing . i just try this video for the first time right after recover from strep throat , while still have a cough and i be able to keep up perfectly fine . rest when i need to . and the more you do this video , the more you 'll be able to keep up with the festive dance move .
Movies_TV	POS	4	what I like about Will Smith in this movie be that he can show he can play a serious actor without resort to he fresh Prince character again and again . case in point : Independence Day and Men in Black . both good movie , but not much of a stretch for Smith . here , he be quite darned good as a dc labor laywer set up by a agency of the government , head by Jon Voight . it turn out Smith be carry a piece of evidence that will expose Voight as the murderer of a famous congressman .  will Smith 's life be throw in disarray ; he wife think he be cheat on she with he ex-girlfriend , he be be fire , and now he only hope be a recluse play by Gene Hackman . together only can they clear Smith 's name and bring down Voight 's character . the action scene be quite good , and the sound from this dvd will blow you sock off during the explosion . the best part though be about basic privacy . there be satellite look down on we all the time , how the government can hack we computer and listen in we phone call in the name of national security . some very serious question be raise in this enjoyable action thriller .
Movies_TV	POS	5	we grandson love this dvd and want more . he say he love old movie , and this be a really good one .
Movies_TV	POS	4	I love the set . I do have a problem with the first disc in the set . my player do not seem to want to read it with out try like 20 time . I even get a new set ship to I and I be have the same problem . I like the series enough that I do not want to return the set even with this problem .
Movies_TV	POS	5	be a big Peter Pan fan -lrb- I see it in the theater when it be first release back in 1952 -rrb- and love this dvd . great clean up and restoration of the film yet , plus lot of goody . great dvd and worth every penny for the Peter Pan Fan .
Movies_TV	NEU	3	I find the action dissapointing and the way they present the technology use just be not convincing . that be poor for a film so hype up on technology . Hackman do a good performance , within the limit he have . Smith float on he name . have to mention that the first copy I get from Amacon.com do not work and when I tell they they send I a new copy the same day with express mail ! no extra cost . two thumb up for Amazon.com !
Movies_TV	POS	5	I rent this dvd from the library to see if I would like it or not . I definitely do ! I generally have a hard time get into work out if there be not music or dancing involve . I have a background in dance and know how great of a workout it be , so other type of exercise seem like a bear to I . this workout keep I interested . I start sweating about 7-10 minute into the video . it be really great cardio , but I could feel my thigh , ab and arm get a great workout , too . some of the step be very fast , but it be fun if you just let go and do not think about how you look do the move . the cool-down be probably my favorite part though = -rrb- it be very relaxing ! word of caution : there be a lot of jump in this workout . if you do not have good knee or ankle , I would just try to do a lower impact move in place of the hop . I be a petite girl and my ankle even crack a few time -lrb- but I know this be normal for I -rrb- .
Movies_TV	POS	5	to the second star on the right and you will reach Neverland ! where pirate rule the sea , the native Indians be the civilized , and meet Peter Pan and he lose boy . this be a true Disney classic that everyone must have ! and do not just get the VHS , get the dvd ! the picture quality be much better , stronger , and sharper , talk about dpi high resolution ! what be more interesting be that do not watch it on you tv for best resolution , watch it on you computer for the extreme ! the feature be great too , my favorite be the concept art archive , all these original sketch and painting just make I want to drool . you will not believe the ability of these artist back in the 1950 . one of the interesting feature be the history of making of Peter Pan . it show you how the musical be first start , and Disney transform Peter Pan into a boy ! unlike the musical that be play by a actress -lrb- though the musical be excellent too -rrb- . if you be a Disney fan I would not doubt you will miss this dvd .
Movies_TV	POS	5	amazing movie ! and great dvd quality . no scratch , come wrap in plastic . good buy ... 10\/10 !
Movies_TV	POS	5	a earlier will Smith movie but the first that allow he out of he `` fresh prince '' role . love it when first release and love it now , essential if one be keep Will Smith movie . nice blu ray transfer .
Movies_TV	POS	5	this be one of the best movie I have see . with Will Smith be a D.C. Lawyer run into a college friend who slip he a assasination tape of a congressman make via bird watch video equiptment near a lake . the NSA be hot on Smith 's trail , with John Voight lead the pack . Will Smith take the aid of Brill , play by Gene Hackman , who be recommend by a information dealer who run job for Smith for he court case . with a great cast , non-stop action , and a couple hoot and hollar , this movie should be the example to all the director of all government-based action movie . I thank the director on he stunning work , the writer give a complex story , and the score guy , who make a outstanding soundtrack .
Movies_TV	POS	4	Peter Pan be a very fun movie . very childish happening . Tinkerbell be a classic assistant actress and be very selfish , mean-spirited and in love with Peter Pan . so when another try to get close -lrb- namely girl like wendy -rrb- she will not take to this lightly ! just watch and see ! it be a story that be be tell a thousand time but if you be a Disney fan , this have to be relive !! Peter Pan come to John and Michael 's nursery once in a while just to see how thing be . he inspire the child to play and imitate Peter Pan and the Captain Hook , and wendy , to keep the story alive . Neverland be any 6 or 7 year old kid 's fantasy world , but ANYONE can relive the glory that be Peter Pan . I do not wanna spend the whole night write this review but I will just say that it hold brilliance ; magic and such and should not be ignore ! get you copy tonight and make the child in you life smile over and over ! favorite character : Peter Pan , Michael , Tinkerbell and the Fox boy . : -rrb- Cover Art : b - inside art : C Story : b + character : a dialogue : b - comic Relief : b - music -lrb- score -rrb- : b + length : a - 4.2 star . overall : b -
Movies_TV	POS	5	Will Smith and Gene Hackman be brilliant in this movie ! Will Smith prove that he can be just as good of a actor when it come to action movie as he can in comedy movie . Mr. Dean -lrb- Will Smith -rrb- do not know it at first , but he have become the prime target for a politician and he group of thug when he accidentally obtain major evidence of a politically motivated crime . soon , he life be gonna do more than fall apart . the only way he can possibly even have half a chance to get he life back be with the help of a expert name Brill -lrb- Gene Hackman -rrb- .  `` enemy of the state '' be one of the best all around movie I have ever see . it have some of the most intense suspense ever see in a movie . it be think provoke and it be jam full of non-stop action and suspense . I recommend anybody who like action or suspense movie to pick up a copy of `` enemy of the state '' right now .
Movies_TV	POS	5	it be all about Pirates in we house , and we love to be cap'n hook and smee and fly -lrb- run -rrb- to Neverland ! Jake and the Neverland Pirates start this , and when I introduce she to `` Peter Pan '' , she fall in love ! we have watch this movie more time then I can count ! there be also a sequel about wendy 's daughter go o nverland , it be hard to find , but really cute movie too , to continue on the Neverland fun !
Movies_TV	POS	5	Walt Disney 's masterpiece `` Peter Pan '' fly onto for the first time , a two disc platinum edition with a treasure chest full of special feature . a must have Disney masterpiece , see you favorite character again again , Peter Pan , Wendy , John , Michael Darling , Tinkerbell , Mr. Smee & of course the notorious Captain Hook .
Movies_TV	NEU	3	no company anywhere in popular culture extend and stretch its intellectual property like Walt Disney Pictures . its beloved character appear in film after sequel after straight-to-dvd after tv show after stage production , they story tell live and draw from nearly every conceivable angle . this , plus the studio 's diligent protection of its intellectual property , have lead to the world see its folklore through Disney 's lens . -lrb- quick , think of Snow White , or beauty and the beast or Aladdin , story tell for hundred of year . whose image do you see ? -rrb- if Disney do not retell its sequeled story with quite the grandeur and reverence of Walt Disney 's supervised original -lrb- think `` Fantasia 2000 , '' `` jungle book ii '' -rrb- , it respect they enough to honor the original 's spirit while approach they from modern sensibility . so it be with `` Cinderella III : A twist in Time , '' a pleasant , occasionally thought-provoking successor to Walt Disney 's 1950 original . this variation of the tale involve a steal wand get into the hand of Cinderella 's evil stepmother , rewind Cinderella 's story to where she lose glass slipper do not fit . the Prince , dash and noble as in Disney movie for 70 year , could thus be mislead and manipulate into marry Cinderella 's sister , Anastasia . while no classic Disney princess , Anastasia -lrb- voice by tress mcnellie -rrb- provide the film 's heart in she sentimental scene with the king , and she song yearning for the love Cinderella have and they wicked stepmother -lrb- voice by Susan Blakeslee in classic Disney villainess mode -rrb- seem determine to steal for she . other favorite return from the original . helpful mouse Gus and Jaq sing the film 's highlight song clue the prince in on what happen to he `` Cinderelly . '' the mischievous , near-cheshire cat Lucifer nearly steal the show in a funny food fight scene . the paltry extra be highlight by a behind-the-scenes look at a Cinderella stage show on Disney 's cruise line , and a overlong , simplistic dvd game young child will tire of quickly . `` Cinderella III '' 's animation be not at the theatrical classic ' level , but still above traditional tv animation . at 74 minute -lrb- near perfect for young child -rrb- , the film gently and effectively point out the `` perfect year '' Cinderella sing of in the film 's first scene come not just from a foot fitting a glass slipper , but two hand and heart reach for the same thing and find it together . this modern twist in moral , fitting into a modern twist in a hoary fairy tale , make `` a twist in Time '' a pleasant , recommend surprise .
Movies_TV	POS	5	will SMITH play Robert Dean , a D.C. Attorney who come across a old college friend in a langerae store . without know that he old buddy -lrb- Jason Lee -rrb- have a tape with the Phil Hammerslee murder on it , with -lrb- Lee -rrb- be chase by assassin try to cover up the evidence , the tape be place into Dean 's bag without he knowledge . now government agent be after Dean , with satelite track he every move . now to reclaim he life , Dean must team up with he only ally , a wits-filled man name Brill -lrb- Gene Hackman -rrb- , a man who use to work for Dean , that pass down evidence for he .  my REVIEW :  `` the Bruckheimer\/Scott team always work with the critic and audience alike . they last film together , be the highly suspenseful crimson tide , be also another spectacular film ! this time around , will SMITH and GENE HACKMAN make a great team . JON VOIGHT -lrb- Pearl Harbor -rrb- and REGINA KING also have great performance . the story be awesome and well think provoke ! I totally recommend this action thriller for fan of well think out , and well do movie ! like the negotiator , enemy of the state should be add to the great suspense film list ! all thumb should be up for this mind twist thriller ! '' - mjv & the Movies .
Movies_TV	NEG	1	I purchase this as a birthday gift for my grand daughter and send it in the mail to she to she disappointment it do not work in any of the dvd player they have I be sorry that I buy this dvd and will not buy again
Movies_TV	NEG	2	this be so boring . it be the same plot that we have see a hundred time . Guy stumble on to something he should not have , government make he life hell . running , run , run . Blah Blah Blah . you have see it before with other title , do not bother to see it again unless you just enjoy watch Will Smith .
Movies_TV	POS	4	if you be a fan of the movie ` the conversation ' then you will love this for novelty value if nothing else . i havent see much with will smith and i be worry this be go to be somekind of man in black thing . it be in fact , very serious though . good act all around , the list of actor be ridicolous : will smith , gene hackman , john voight , seth green , jack black , jamie kennedy , lisa bonet , scott caan , jason robard , jason lee , there more . i recoginz 2 guy from the soprano -lrb- dont know they name -rrb- , one of which be also in goodfella . the story be full of action . its certainly silly at time , the technology use in this wire-tapping drama be just ridicolous but its a lot of fun .  gene hackman im convince now be the best actor of all time . the conversation be my favorite movie ever and one which i believe be also highly underrated . the conversation revolve around gene hackman character who be a professional -lrb- also legal and legit -rrb- wire tapper . he play the same role in this movie , and there be other conversation parallel : at one point a file photo of hackman character be show , and immediately i recognize it as a photo from the conversation . he work in a similar area : a unerground\/basement , cage in fortress\/shop . if anything this character be harry caul -lrb- hackman in the conversation -rrb- time 10 : he be even more paranoid as show during smith first exchange with he , he work through about 10 other people and 10 level , never get he hand dirty . but will smith get into such a bunch of trouble that you start to wonder how can possibly bail he out ... hackman of course . its also interesting how hackman isnt even introduce until almost half way thru the movie . then only for a few minute ; he disappear again . then he finally return to really kick ... i think vin diesel be cool , i love fast and the furious and xxx and to I gene hackman be just as much of a untouchable badass , just in a much different -lrb- and probably less hip -rrb- way .  tony scott direct this , he be a excellent director know for great film like true romance . funny , there be a similar situation with a similar outcome -lrb- shoot out where everyone die except the main character , will smith in this case -rrb- in this movie .  if you love the conversation as i do , you wish there be more to see . this be as close as you go to get and its quite impressive . a huge cast of star , great acting , and fun script and exciting , visual directing . near perfect .
Movies_TV	POS	5	I think that this movie be a great Jerry Bruckheimer production . I like how most of the stunt be pull off in the entire movie . Will Smith should be congradulate for be in this great movie from Jerry Bruckheimer . -lrb- who also do `` the Rock '' and `` Armageddon '' -rrb- Gene Hackman 's part as Brill be very interesting , as well with Jon voight . in total , this movie should be a must see and a must buy movie to own and watch .
Movies_TV	POS	5	in my opinion , `` Peter Pan '' be a dinsey masterpeice and one of the best classic Disney film . wendy , John , and Michael all believe in the magic and wonder of Peter Pan , and one night as they be dream wendy be awake by move around in the nursey , there stand before they be `` Peter Pan `` who take they to where he live and where kid will never grow up into adult , Neverland . while discover neverland they meet up with enchanting mermaid , indain . wendy , Micheal , John meet pan family sort of speak the lose boy and discover the wonder and childlike fantasy of never grow up . but most of all , they meet Peter Pan 's biggest adversary , the mean and devilish Captain Hook . I watch peter pan for the first time when i be five `` Peter Pan '' be a great classic film . when I be a kid , I use to watch it all the time and i still do , mainly because I use to wish that I would never grow up , just like Peter Pan and the lose boy . now that I be grow , I do not have those thought any more , but I still enjoy watch `` Peter Pan . '' it be a good movie . it be funny at time and exciting , it give I a little bit of nostalgia everytime I watch it , and it even have unforgettable song such as `` you can fly . '' I do not see where it matter how old you be , there be not anything wrong with watch cartoon after you be grow , if you like classic cartoon movie or if you have any child , this will absolutely hold they attention `` Peter Pan '' would be a great movie to own .
Movies_TV	NEU	3	`` PETER PAN '' a Disney favorite from 1953 have be resurrect , remaster and restore for its premier digital transfer . the Technicolor animation be once again pristine and the sound be crystal clear .  although the animation style be far-removed from the detailed , classic , illustrator style of `` Snow White '' and `` Pinnochio , '' it be still fluid , with nicely frame composition that have a rougher , more spontaneous , almost sketchy look that usher in a modernistic wave of Disney animation .  the bonus material be significant , especially the fabulous commentary track host by Roy Disney -lrb- Walt 's nephew -rrb- and the making-of documentary with always affable and informed Leonard Maltin and old time animator Frank Thomas and Ollie Johnson and the voice of wendy , Kathryn Beaumont . there be a preview of the new big screen feature `` return to Neverland '' among other extra .  there be a notorious element to this movie in the haunting presence of the late , brilliant and beautiful child star Bobby Driscoll -lrb- the voice of Peter Pan -rrb- . he be discover dead of a drug overdose in a condemn New York tenement in 1968 and bury in a pauper 's grave . more than a year later he be finally identify through fingerprint . `` Peter Pan '' be a fitting tribute to Driscoll 's remarkable , natural , talent . and the genius of Walt Disney in visualize the darker element barely , if even , hint at in the original fantasy .
Movies_TV	POS	5	I be very pleased with the fast delivery and the excellent condition the movie be in !!! my daughter be obsess with the Peter Pan movie . I be hesitant on purchase from a stranger but after read the great review I know I choose the right one .
Movies_TV	POS	4	this be a good suspense movie overburdened with flash and funk . check out Gene Hackman 's performance . he be reprise he role in the conversation as a electronic surveillance expert , and they even show clip from the conversation as reference to he past .
Movies_TV	NEU	3	my brother like this film about these kid that tell story about peter pan and then he finally come and take they to he world where he want they to stay , and if they dont they can never come back . the land be for kid only and they wil never grow up there . there be mermaid , and pirate , etc and new charecter and kid and excitee for the whole family . ~
Movies_TV	POS	5	we family vote pp as the 2nd best Disney movie , behind only the Lion King . it have something for boy and girl of all age , include the 2 thing that make a movie truly great for my 9 year old son  sword and sword fight . this be a movie we have own a long time and it get watch several time per year . Pete  s Dragon be we most watch movie period but pd come in 3rd .  we have a lot of fun by gather the family together to rank the 41 Disney movie we have that include some cartoon work . all the kid , age 6 to 27 , participate along with mother and dad . Peter Pan be no Codfish , we rank it # 2 . Lion King be select number 1 of the 41 as the family favorite , but narrowly . Peter Pan be 2 . Pete  s Dragon 3 , Beauty & the beast 4 and sleep beauty 5 .
Movies_TV	POS	4	I go to a pre-screening of this movie with very young friend of ours , 5 and 3 , and my 15 year old daughter . have hate the original animated `` Cinderella '' , I be not expect much . but I really enjoy this one . the mouse be hysterical , Cinderellie turn out to have a lot of spunk and a good sense of humor , the stepmother 's eerily creepy , and the stepsister turn out to be a good egg . it have a lot of sight gag , and the writing 's good - plenty to laugh at and get carry along by . plus , there be still good princess value for the tiny one - pretty dress , dancing , wedding , etc. . get it , you 'll enjoy it , and will not hate watch it more than once .
Movies_TV	NEU	3	this be another attempt of Disney 's to take one of they fondest character and stretch she likability and promise WAY too thin to earn a profit . even so , this film best they last direct-to-video installment , Cinderella 2 , which I turn off after just ten minute . this movie make you yearn for the original film and the magic that go into it . it do have its high point , though , in that I love see the stepsister character develop . maybe a better direct-to-dvd offering would simply be a stepsister biography ? anyway , some of the character action do not ring true . and a time-travel theme ? that might be better suit for a Star Trek movie . however , that be the gimmick that get I to buy this film in the first place ! maybe the next sequel will be Cinderella 4 : back 4 more , Race against the machine . if you must consider any Disney sequel , try Bambi II , which I believe be far superior .
Movies_TV	POS	5	Director Tony Scott combine with the ace producer of the crimson Tide and Armageddon to give we a non stop thriller that start off fast and get even faster . Will Smith play Robert Clayton Dean , a lawyer unwillingly catch up in illegal politics when the hidden video of a Senator 's assination be unknowingly pass onn to he by a old friend . Acadamy award winner Gene Hackman -lrb- Crimson Tide -rrb- and John Voight -lrb- Mission impossible -rrb- also add to the thrill and spill as `` tomorrow 's technology '' be be use today for moniter we every move . a new third-generation cold war have begin in the US government . also look out for the mistake at the end when Dean be flick channel on he tv and see himself on the screen . Dean look up at the smoke detector , indicate that the camera be hide inside , however when he look up , he image on the tv screen also look up , and when he look back at the tv , he be stare at himself , indicate that the hidden camera be not really in the smoke detector , -lrb- as the audience be suppose to believe -rrb- but somewhere in or near the tv in front of he .
